Movie,Year,Critics,Audience
 The Shawshank Redemption,1994.0,91,98
 The Godfather,1972.0,99,98
 The Godfather: Part II,1974.0,97,97
 The Dark Knight,2008.0,94,94
12 Angry Men ,1957.0,100,97
Schindler's List ,1993.0,96,97
Pulp Fiction ,1994.0,94,96
 The Lord of the Rings: The Return of the King,2003.0,95,86
 Il  il cattivo. il bruttoBuono,1966.0,NA,NA
Fight Club ,1999.0,79,96
 The Lord of the Rings: The Fellowship of the Ring,2001.0,91,95
Star Wars: Episode V - The Empire Strikes Back ,1980.0,94,97
Forrest Gump ,1994.0,72,95
Inception ,2010.0,86,91
 The Lord of the Rings: The Two Towers,2002.0,96,95
One Flew Over the Cuckoo's Nest ,1975.0,95,96
Goodfellas ,1990.0,96,97
 The Matrix,1999.0,87,85
Shichinin no samurai ,1954.0,NA,NA
Star Wars ,1977.0,NA,NA
Cidade de Deus ,2002.0,90,97
Se7en ,1995.0,80,95
 The Silence of the Lambs,1991.0,95,95
It's a Wonderful Life ,1946.0,94,95
 The Usual Suspects,1995.0,88,96
 La Vita Ã¨ bella,1997.0,NA,NA
LÃ©on ,1994.0,NA,NA
Sen to Chihiro no kamikakushi ,2001.0,NA,NA
Saving Private Ryan ,1998.0,92,95
C'era una volta il West ,1968.0,NA,NA
American History X ,1998.0,83,96
Interstellar ,2014.0,71,85
Casablanca ,1942.0,97,95
Psycho ,1960.0,96,94
City Lights ,1931.0,98,96
Raiders of the Lost Ark ,1981.0,94,96
 The Green Mile,1999.0,80,94
Intouchables ,2011.0,74,93
Modern Times ,1936.0,100,95
Rear Window ,1954.0,100,95
Terminator 2: Judgment Day ,1991.0,93,94
 The Departed,2006.0,91,94
 The Pianist,2002.0,96,95
Back to the Future ,1985.0,96,94
Whiplash ,2014.0,94,94
Gladiator ,2000.0,76,87
Memento ,2000.0,92,94
Apocalypse Now ,1979.0,97,94
 The Prestige,2006.0,76,92
 The Lion King,1994.0,92,93
Alien ,1979.0,97,94
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964.0,99,94
Sunset Blvd. ,1950.0,98,95
 The Great Dictator,1940.0,92,95
 Das Leben der Anderen,2006.0,NA,NA
Nuovo Cinema Paradiso ,1988.0,90,97
Paths of Glory ,1957.0,94,95
Django Unchained ,2012.0,88,91
 The Shining,1980.0,88,93
Hotaru no haka ,1988.0,97,95
WALLÂ·E ,2008.0,0,0
 The Dark Knight Rises,2012.0,87,90
American Beauty ,1999.0,88,93
Aliens ,1986.0,98,94
Mononoke-hime ,1997.0,NA,NA
Oldeuboi ,2003.0,NA,NA
Once Upon a Time in America ,1984.0,89,94
Citizen Kane ,1941.0,100,90
 Das Boot,1981.0,98,96
North by Northwest ,1959.0,100,94
Witness for the Prosecution ,1957.0,100,95
Vertigo ,1958.0,97,93
Star Wars: Episode VI - Return of the Jedi ,1983.0,80,94
M ,1931.0,100,95
Reservoir Dogs ,1992.0,90,94
Braveheart ,1995.0,78,85
 Le Fabuleux destin d'AmÃ©lie Poulain,2001.0,NA,NA
Requiem for a Dream ,2000.0,78,93
 A Clockwork Orange,1971.0,90,93
Taxi Driver ,1976.0,99,93
Double Indemnity ,1944.0,96,95
Lawrence of Arabia ,1962.0,97,93
To Kill a Mockingbird ,1962.0,91,93
Toy Story 3 ,2010.0,99,89
Eternal Sunshine of the Spotless Mind ,2004.0,93,94
Amadeus ,1984.0,95,95
Full Metal Jacket ,1987.0,95,94
 The Sting,1973.0,93,95
2001: A Space Odyssey ,1968.0,94,89
Ladri di biciclette ,1948.0,NA,NA
Toy Story ,1995.0,100,92
Snatch. ,2000.0,73,93
Singin' in the Rain ,1952.0,100,95
Inglourious Basterds ,2009.0,89,87
 The Kid,1921.0,100,96
Monty Python and the Holy Grail ,1975.0,97,95
